ID,Row,Column,Percent,Vaccine_Type
1,1,1,1,Pfizer
2,1,2,2,Pfizer
3,1,3,3,Pfizer
4,1,4,4,Pfizer
5,1,5,5,Pfizer
6,1,6,6,Pfizer
7,1,7,7,Pfizer
8,1,8,8,Pfizer
9,1,9,9,Pfizer
10,1,10,10,Pfizer
11,2,1,11,Pfizer
12,2,2,12,Pfizer
13,2,3,13,Pfizer
14,2,4,14,Pfizer
15,2,5,15,Pfizer
16,2,6,16,Pfizer
17,2,7,17,Pfizer
18,2,8,18,Pfizer
19,2,9,19,Pfizer
20,2,10,20,Pfizer
21,3,1,21,Pfizer
22,3,2,22,Pfizer
23,3,3,23,Pfizer
24,3,4,24,Pfizer
25,3,5,25,Pfizer
26,3,6,26,Pfizer
27,3,7,27,Pfizer
28,3,8,28,Pfizer
29,3,9,29,Pfizer
30,3,10,30,Pfizer
31,4,1,31,Pfizer
32,4,2,32,Pfizer
33,4,3,33,Pfizer
34,4,4,34,Pfizer
35,4,5,35,Pfizer
36,4,6,36,Pfizer
37,4,7,37,Pfizer
38,4,8,38,Pfizer
39,4,9,39,Pfizer
40,4,10,40,Pfizer
41,5,1,41,Pfizer
42,5,2,42,Pfizer
43,5,3,43,Pfizer
44,5,4,44,Pfizer
45,5,5,45,Pfizer
46,5,6,46,Pfizer
47,5,7,47,Pfizer
48,5,8,48,Pfizer
49,5,9,49,Pfizer
50,5,10,50,Pfizer
51,6,1,51,Pfizer
52,6,2,52,Pfizer
53,6,3,53,Pfizer
54,6,4,54,Pfizer
55,6,5,55,Pfizer
56,6,6,56,Pfizer
57,6,7,57,Pfizer
58,6,8,58,Pfizer
59,6,9,59,Pfizer
60,6,10,60,Pfizer
61,7,1,61,Pfizer
62,7,2,62,Pfizer
63,7,3,63,Sinovac
64,7,4,64,Sinovac
65,7,5,65,Sinovac
66,7,6,66,Sinovac
67,7,7,67,Sinovac
68,7,8,68,Sinovac
69,7,9,69,Sinovac
70,7,10,70,Sinovac
71,8,1,71,Sinovac
72,8,2,72,Sinovac
73,8,3,73,Sinovac
74,8,4,74,Sinovac
75,8,5,75,Sinovac
76,8,6,76,Sinovac
77,8,7,77,Sinovac
78,8,8,78,Sinovac
79,8,9,79,Sinovac
80,8,10,80,Sinovac
81,9,1,81,Sinovac
82,9,2,82,Sinovac
83,9,3,83,Sinovac
84,9,4,84,Sinovac
85,9,5,85,Sinovac
86,9,6,86,Sinovac
87,9,7,87,Sinovac
88,9,8,88,Sinovac
89,9,9,89,Sinovac
90,9,10,90,Sinovac
91,10,1,91,Sinovac
92,10,2,92,Sinovac
93,10,3,93,Astra
94,10,4,94,Astra
95,10,5,95,Astra
96,10,6,96,Astra
97,10,7,97,Astra
98,10,8,98,Astra
99,10,9,99,Astra
100,10,10,100,Astra
