date,daily_partial,daily_full,daily_booster,daily_booster2,daily,daily_partial_adol,daily_full_adol,daily_booster_adol,daily_booster2_adol,daily_partial_child,daily_full_child,daily_booster_child,daily_booster2_child,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul,cumul_partial_adol,cumul_full_adol,cumul_booster_adol,cumul_booster2_adol,cumul_partial_child,cumul_full_child,cumul_booster_child,cumul_booster2_child,pfizer,sinovac,astra,sinopharm,cansino,pending
24/02/2021,66,3,0,0,69,0,0,0,0,2,0,0,0,66,3,0,0,69,0,0,0,0,2,0,0,0,66,2,0,0,0,1
25/02/2021,1149,2,0,0,1151,0,0,0,0,0,0,0,0,1215,5,0,0,1220,0,0,0,0,2,0,0,0,1146,2,0,0,0,3
26/02/2021,4103,3,0,0,4106,0,0,0,0,0,0,0,0,5318,8,0,0,5326,0,0,0,0,2,0,0,0,4096,2,1,0,0,7
27/02/2021,6721,6,0,0,6727,0,0,0,0,0,0,0,0,12039,14,0,0,12053,0,0,0,0,2,0,0,0,6700,6,0,0,0,21
28/02/2021,6720,6,0,0,6726,0,1,0,0,0,0,0,0,18759,20,0,0,18779,0,1,0,0,2,0,0,0,6718,4,0,0,0,4
01/03/2021,15395,6,0,0,15401,1,0,0,0,0,0,0,0,34154,26,0,0,34180,1,1,0,0,2,0,0,0,15393,2,0,0,0,6
02/03/2021,21687,4,0,0,21691,1,0,0,0,0,0,0,0,55841,30,0,0,55871,2,1,0,0,2,0,0,0,21688,2,0,0,0,1
03/03/2021,22691,6,0,0,22697,0,0,0,0,0,0,0,0,78532,36,0,0,78568,2,1,0,0,2,0,0,0,22688,4,0,0,0,5
04/03/2021,19513,17,0,0,19530,0,0,0,0,0,0,0,0,98045,53,0,0,98098,2,1,0,0,2,0,0,0,19515,7,0,0,0,8
05/03/2021,14372,6,0,0,14378,0,0,0,0,0,0,0,0,112417,59,0,0,112476,2,1,0,0,2,0,0,0,14371,4,0,0,0,3
06/03/2021,15840,4,0,0,15844,1,0,0,0,2,0,0,0,128257,63,0,0,128320,3,1,0,0,4,0,0,0,15597,204,0,0,0,43
07/03/2021,12590,7,0,0,12597,0,0,0,0,0,0,0,0,140847,70,0,0,140917,3,1,0,0,4,0,0,0,12580,5,0,0,0,12
08/03/2021,27206,16,0,0,27222,0,2,0,0,0,0,0,0,168053,86,0,0,168139,3,3,0,0,4,0,0,0,27203,17,0,0,0,2
