date,vaccine_type,vaccine_count
24/02/2021,Pfizer,66
24/02/2021,Sinovac,2
24/02/2021,Astra,0
24/02/2021,Sinopharm,0
24/02/2021,Cansino,0
25/02/2021,Pfizer,1146
25/02/2021,Sinovac,2
25/02/2021,Astra,0
25/02/2021,Sinopharm,0
25/02/2021,Cansino,0
26/02/2021,Pfizer,4096
26/02/2021,Sinovac,2
26/02/2021,Astra,1
26/02/2021,Sinopharm,0
26/02/2021,Cansino,0
27/02/2021,Pfizer,6700
27/02/2021,Sinovac,6
27/02/2021,Astra,0
27/02/2021,Sinopharm,0
27/02/2021,Cansino,0
28/02/2021,Pfizer,6718
28/02/2021,Sinovac,4
28/02/2021,Astra,0
28/02/2021,Sinopharm,0
28/02/2021,Cansino,0
01/03/2021,Pfizer,15393
01/03/2021,Sinovac,2
01/03/2021,Astra,0
01/03/2021,Sinopharm,0
01/03/2021,Cansino,0
02/03/2021,Pfizer,21688
02/03/2021,Sinovac,2
02/03/2021,Astra,0
02/03/2021,Sinopharm,0
02/03/2021,Cansino,0
03/03/2021,Pfizer,22688
03/03/2021,Sinovac,4
03/03/2021,Astra,0
03/03/2021,Sinopharm,0
03/03/2021,Cansino,0
04/03/2021,Pfizer,19515
04/03/2021,Sinovac,7
04/03/2021,Astra,0
04/03/2021,Sinopharm,0
04/03/2021,Cansino,0
05/03/2021,Pfizer,14371
05/03/2021,Sinovac,4
05/03/2021,Astra,0
05/03/2021,Sinopharm,0
05/03/2021,Cansino,0
06/03/2021,Pfizer,15597
06/03/2021,Sinovac,204
06/03/2021,Astra,0
06/03/2021,Sinopharm,0
06/03/2021,Cansino,0
07/03/2021,Pfizer,12580
07/03/2021,Sinovac,5
07/03/2021,Astra,0
07/03/2021,Sinopharm,0
07/03/2021,Cansino,0
08/03/2021,Pfizer,27203
08/03/2021,Sinovac,17
08/03/2021,Astra,0
08/03/2021,Sinopharm,0
08/03/2021,Cansino,0
09/03/2021,Pfizer,30043
09/03/2021,Sinovac,85
