lat,lon,city,state,dx,dy
1.480024637,103.7300402,Johor Bahru,Johor,0,20
6.113307718,100.3729325,Alor Setar,Kedah,-20,5
6.119973978,102.2299768,Kota Baharu,Kelantan,50,0
2.206414407,102.2464615,Malacca City,Melaka,-50,5
2.710492166,101.9400203,Seremban,Negeri Sembilan,-50,5
3.829958719,103.3200394,Kuantan,Pahang,30,0
4.599989236,101.0649833,Ipoh,Perak,-37,5
6.433001991,100.1899987,Kangar,Perlis,-21,-10
5.413613156,100.3299878,George Town,Pulau Pinang,-25,12
5.979982523,116.1100081,Kota Kinabalu,Sabah,-40,0
1.529969909,110.3299991,Kuching,Sarawak,0,-25
3.066695996,101.5500165,Shah Alam,Selangor,-50,0
5.330409769,103.1400081,Kuala Terengganu,Terengganu,50,0
